name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
istanbul,2024-12-25,14.4,10.7,12.2,14.4,10.7,12.2,9.8,85.6,2.145,100,8.33,rain,0,0,28.1,19.8,31.2,1009.8,86.3,11.9,39.7,3.5,3,10,2024-12-25T08:27:42,2024-12-25T17:41:05,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"17068099999,D8508,LTBA,17063099999,17119099999,17061099999,remote,17064099999,17060099999,LTFJ"
istanbul,2024-12-26,12.8,9.5,11,12.8,5.8,10,9.4,89.9,1.587,100,12.5,rain,0,0,57.6,33.7,36.6,1017.7,80.5,11.9,22.9,1.9,1,10,2024-12-26T08:28:02,2024-12-26T17:41:45,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17068099999,D8508,LTBA,17119099999,17063099999,17061099999,17022399999,17064099999,17060099999,LTFJ"
istanbul,2024-12-27,8.8,4.5,6.5,4.9,1,2.8,4.8,88.9,11.041,100,16.67,rain,0,0,59.4,35.5,24.8,1022.6,89.4,10.7,13.8,1,1,10,2024-12-27T08:28:21,2024-12-27T17:42:26,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-12-28,8.5,5.2,6.9,4.8,2.3,3.3,5,87.6,2.565,100,16.67,rain,0,0,54,32,29.2,1022,87.8,14.4,17.1,1.5,1,10,2024-12-28T08:28:37,2024-12-28T17:43:09,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-12-29,8.1,6.9,7.5,4.7,3.1,3.9,5.5,87,1.013,100,16.67,rain,0,0,51.5,30.1,24.6,1024.4,88.7,16.1,16.6,1.4,1,10,2024-12-29T08:28:51,2024-12-29T17:43:54,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-12-30,7.4,5.6,6.5,5.1,2.7,3.9,4.4,86.7,0.48,100,12.5,rain,0,0,41,19.9,18.4,1027.4,75.8,15.9,24.3,2.1,1,10,2024-12-30T08:29:03,2024-12-30T17:44:41,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-12-31,9.8,4.4,6.8,9.3,2.9,6.2,4.5,85.9,0,0,0,,0,0,21.2,9,6.1,1031.2,34.9,15,33.6,3.1,3,10,2024-12-31T08:29:12,2024-12-31T17:45:29,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2025-01-01,11.8,2.8,6.6,11.8,2.8,6.6,4.3,85.7,0,0,0,,0,0,35.8,8.3,224,1031.9,3,9,76.5,6.7,4,10,2025-01-01T08:29:19,2025-01-01T17:46:19,0.05,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2025-01-02,12.3,4.6,8.7,12.3,4.6,8.4,5,78.6,0,0,0,,0,0,32.4,13.5,216.1,1027.1,14,11.3,86.2,7.6,4,10,2025-01-02T08:29:24,2025-01-02T17:47:11,0.09,Clear,Clear conditions throughout the day.,clear-day,"D8508,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2025-01-03,14.7,9.8,12.1,14.7,8.5,12,7.3,72.4,0,0,0,rain,0,0,46.1,16.5,225.2,1019.9,39,22.4,97.9,8.4,4,10,2025-01-03T08:29:27,2025-01-03T17:48:04,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,17063099999,17061099999,17064099999,17060099999"
